trial,load,vec_bcast,mat_scatter,coo_spmv,res_reduce,store
1,0.698062,0.001001,0.024038,0.222971,0.003333,0.056911
2,0.740718,0.000927,0.025658,0.115242,0.001193,0.023549
3,0.764289,0.001462,0.035980,0.107340,0.002497,0.023470
4,0.720135,0.000968,0.024185,0.308294,0.007584,0.024610
5,0.707737,0.000916,0.023860,0.257189,0.007464,0.023434
6,0.704052,0.001256,0.030595,0.067146,0.007684,0.026698
7,0.749269,0.001311,0.031216,0.109095,0.006564,0.039188
8,0.731621,0.000900,0.024269,0.146514,0.002093,0.023367
9,0.751456,0.001093,0.025382,0.285740,0.001218,0.022837
10,0.716233,0.000919,0.025082,0.235771,0.015232,0.022842
11,0.698010,0.000977,0.025366,0.194384,0.008494,0.022816
12,0.785136,0.001128,0.025109,0.340308,0.000997,0.025498
13,0.724078,0.000984,0.026249,0.121579,0.007406,0.025320
14,0.732189,0.000982,0.026679,0.142543,0.001244,0.031498
15,0.692153,0.000964,0.024912,0.222467,0.001328,0.031655
16,0.756874,0.000947,0.032073,0.103177,0.007926,0.026327
17,0.720135,0.000968,0.024185,0.308294,0.007584,0.024610

