trial,load,vec_bcast,mat_scatter,coo_spmv,res_reduce,store
1,0.693775,0.002389,0.011669,0.015601,0.001132,0.024729
2,0.696657,0.002083,0.011565,0.015997,0.001148,0.022536
3,0.740261,0.002573,0.011803,0.015621,0.001179,0.407371
4,0.707936,0.002381,0.012499,0.015574,0.000979,0.025419
5,0.754846,0.002024,0.010970,0.015778,0.000960,0.332437
6,0.698871,0.002292,0.011624,0.015646,0.001155,0.025565
7,0.693679,0.002007,0.012152,0.015631,0.001118,0.025823
8,0.682215,0.002098,0.012097,0.015614,0.000927,0.047937
9,0.725501,0.002194,0.012616,0.015771,0.001028,0.026456
10,0.764809,0.002263,0.020484,0.015639,0.001111,0.394322
11,0.732493,0.002618,0.011526,0.015538,0.000988,0.414468
12,0.699876,0.002339,0.010355,0.015660,0.001005,0.372637
13,0.690554,0.001889,0.011046,0.015529,0.001073,0.022821
14,0.746563,0.001873,0.021767,0.015680,0.000602,0.377069
15,0.694449,0.002266,0.012305,0.015620,0.001076,0.057929
16,0.732493,0.002618,0.011526,0.015538,0.000988,0.414468
