steps,serial_time,parallel_integration_time,monte_carlo_time,serial_pi,parallel_pi,monte_carlo_pi
1000000000,2.92369,0.128219,0.218571,3.1415926637,3.1415926536,3.1415346400
750000000,2.1928,0.096742,0.164317,3.1415926552,3.1415926536,3.1415713547
500000000,1.46162,0.065738,0.109335,3.1415926211,3.1415926536,3.1415994640
250000000,0.730876,0.0342194,0.0548647,3.1415926552,3.1415926536,3.1416964800
100000000,0.292504,0.0154977,0.0215574,3.1415926483,3.1415926536,3.1416971200
10000000,0.0294081,0.0045823,0.00250016,3.1415926542,3.1415926536,3.1422972000
1000000,0.00319215,0.00572226,0.000298246,3.1415926539,3.1415926539,3.1409920000
