steps,serial_time,parallel_integration_time,monte_carlo_time,serial_pi,parallel_pi,monte_carlo_pi
1000000,0.00318697,0.00184215,0.000531841,3.1415926539,3.1415926539,3.1399400000
10000000,0.0294502,0.0042531,0.00434493,3.1415926542,3.1415926536,3.1415288000
100000000,0.292579,0.0260832,0.042647,3.1415926483,3.1415926536,3.1417000400
250000000,0.731155,0.062938,0.107247,3.1415926552,3.1415926536,3.1415695360
500000000,1.46197,0.123642,0.215,3.1415926211,3.1415926536,3.1415402000
750000000,2.19235,0.18553,0.322315,3.1415926552,3.1415926536,3.1416270560
1000000000,2.92315,0.247355,0.430087,3.1415926637,3.1415926536,3.1415567240
