steps,serial_time,parallel_integration_time,monte_carlo_time,serial_pi,parallel_pi,monte_carlo_pi
1000000,0.00338037,0.00501787,0.00024714,3.1415926539,3.1415926539,3.1407000000
10000000,0.0299426,0.00588144,0.00105059,3.1415926542,3.1415926536,3.1416988000
100000000,0.293101,0.0111302,0.00990446,3.1415926483,3.1415926536,3.1418829600
250000000,0.730858,0.0205966,0.0246774,3.1415926552,3.1415926536,3.1415906720
500000000,1.46135,0.0361864,0.0507318,3.1415926211,3.1415926536,3.1415390000
750000000,2.19212,0.05083,0.0754476,3.1415926552,3.1415926536,3.1415677227
1000000000,2.92261,0.0665166,0.0996544,3.1415926637,3.1415926536,3.1415612680
