trial,load,vec_bcast,mat_scatter,coo_spmv,res_reduce,store
1,0.703294,0.001041,0.024406,0.112773,0.001436,0.025108
2,0.717905,0.001785,0.048999,0.121990,0.029805,0.025177
3,0.713378,0.001401,0.024089,0.195810,0.028677,0.026447
4,0.748038,0.001014,0.026117,0.269624,0.011799,0.022729
5,0.763102,0.011844,0.024496,0.275876,0.006633,0.022553
6,0.704767,0.000854,0.026664,0.238955,0.001557,0.022682
7,0.707584,0.000866,0.024395,0.253383,0.001820,0.024290
8,0.736022,0.001010,0.024142,0.166787,0.008042,0.027746
9,0.724340,0.001015,0.025757,0.344307,0.007433,0.025768
10,0.757969,0.001687,0.035124,0.158099,0.019441,0.027336
11,0.687933,0.000991,0.023630,0.241486,0.024221,0.026901
12,0.692921,0.001015,0.024966,0.097627,0.005889,0.024504
13,0.708079,0.000932,0.026855,0.256537,0.004572,0.025709
14,0.690726,0.000895,0.023824,0.205506,0.000743,0.603234
15,0.748077,0.001138,0.027638,0.130862,0.004098,0.035594
16,0.763102,0.011844,0.024496,0.275876,0.006633,0.022553
