trial,load,vec_bcast,mat_scatter,coo_spmv,res_reduce,store
1,0.723899,0.000763,0.015606,0.107264,0.006864,0.094275
2,0.721737,0.000804,0.015645,0.104675,0.000694,0.390284
3,0.699957,0.000864,0.016271,0.102534,0.001080,0.287574
4,0.706644,0.000799,0.016029,0.121733,0.000688,0.031936
5,0.730214,0.000806,0.016517,0.146370,0.000719,0.086848
6,0.723810,0.000881,0.017457,0.140240,0.006744,0.093073
7,0.721799,0.000846,0.016764,0.112750,0.000696,0.308507
8,0.723403,0.000812,0.015639,0.123329,0.010770,0.334568
9,0.695646,0.000942,0.020632,0.060023,0.000921,0.022648
10,0.674512,0.000768,0.017454,0.133659,0.005409,0.055332
11,0.688655,0.000806,0.015918,0.128120,0.004259,0.333909
12,0.703414,0.000827,0.016701,0.054385,0.000715,0.025190
13,0.724299,0.000789,0.016737,0.125631,0.006557,0.387815
14,0.725060,0.000817,0.017189,0.117549,0.000996,0.354873
15,0.756577,0.001003,0.017226,0.130153,0.001386,0.334187

