steps,serial_time,parallel_integration_time,monte_carlo_time,serial_pi,parallel_pi,monte_carlo_pi,integration_error,monte_carlo_error,speedup_integration
1000000,0.00318697,0.00184215,0.000531841,3.1415926539,3.1415926539,3.1399400000,0.0000000004,0.0016526535,1.73
10000000,0.0294502,0.0042531,0.00434493,3.1415926542,3.1415926536,3.1415288000,0.0000000011,0.0000638535,6.92
100000000,0.292579,0.0260832,0.042647,3.1415926483,3.1415926536,3.1417000400,0.0000000052,0.0001073865,11.22
250000000,0.731155,0.062938,0.107247,3.1415926552,3.1415926536,3.1415695360,0.0000000016,0.0000231175,11.62
500000000,1.46197,0.123642,0.215,3.1415926211,3.1415926536,3.1415402000,0.0000000325,0.0000524535,11.82
750000000,2.19235,0.18553,0.322315,3.1415926552,3.1415926536,3.1416270560,0.0000000016,0.0000344025,11.82
1000000000,2.92315,0.247355,0.430087,3.1415926637,3.1415926536,3.1415567240,0.0000000101,0.0000359295,11.82
