steps,serial_time,parallel_integration_time,monte_carlo_time,serial_pi,parallel_pi,monte_carlo_pi
1000000,0.00320887,0.00169424,0.0018166,3.1415926539,3.1415926539,3.1406760000
10000000,0.0294328,0.0106564,0.0159896,3.1415926542,3.1415926536,3.1413772000
100000000,0.292471,0.0982118,0.156852,3.1415926483,3.1415926536,3.1416688800
250000000,0.730827,0.244146,0.391597,3.1415926552,3.1415926536,3.1415177600
500000000,1.46177,0.487452,0.783019,3.1415926211,3.1415926536,3.1415777680
750000000,2.19221,0.731084,1.17456,3.1415926552,3.1415926536,3.1415687147
1000000000,2.92338,0.974273,1.56575,3.1415926637,3.1415926536,3.1415716280
