trial,load,vec_bcast,mat_scatter,coo_spmv,res_reduce,store
1,0.746895,0.000772,0.015018,0.179017,0.000728,0.023215
2,0.714928,0.000821,0.015321,0.044061,0.000684,0.026655
3,0.699845,0.000720,0.015117,0.126784,0.005194,0.022955
4,0.718942,0.000838,0.017477,0.110719,0.006882,0.037054
5,0.728460,0.000888,0.016723,0.064819,0.012229,0.062799
6,0.724398,0.000928,0.015523,0.094033,0.006943,0.025294
7,0.698474,0.000767,0.017655,0.119168,0.000876,0.074172
8,0.736050,0.000777,0.017205,0.110702,0.009911,0.024538
9,0.728858,0.000774,0.015136,0.116943,0.006970,0.034683
10,0.720819,0.000753,0.015450,0.093739,0.026390,0.023527
11,0.724358,0.000961,0.015998,0.123267,0.003559,0.029992
12,0.744857,0.000799,0.015043,0.060569,0.000740,0.028722
13,0.681417,0.000748,0.016030,0.132268,0.000664,0.030215
14,0.681224,0.000769,0.016115,0.092373,0.000958,0.051286
15,0.704631,0.000758,0.014719,0.121121,0.000719,0.032088

