trial,load,vec_bcast,mat_scatter,coo_spmv,res_reduce,store
1,0.703070,0.002291,0.010735,0.015625,0.001081,0.031213
2,0.728083,0.002001,0.012108,0.015770,0.000974,0.022594
3,0.732669,0.002086,0.011470,0.015569,0.001070,0.023965
4,0.685917,0.001936,0.011426,0.015545,0.001363,0.023271
5,0.724100,0.002131,0.009790,0.015723,0.000991,0.031339
6,0.733588,0.002326,0.013958,0.015510,0.000958,0.033106
7,0.738553,0.002449,0.011612,0.015624,0.001100,0.032700
8,0.689958,0.002078,0.012135,0.016007,0.001074,0.022484
9,0.709555,0.002387,0.014105,0.015612,0.001085,0.25.974
10,0.689123,0.001957,0.010364,0.015581,0.000927,0.022971
11,0.712597,0.002307,0.011673,0.015673,0.001003,0.025849
12,0.739896,0.002277,0.016600,0.015675,0.000887,0.022943
13,0.735043,0.002011,0.009631,0.015707,0.001121,0.031116
14,0.701105,0.002253,0.009179,0.015637,0.001070,0.024805
15,0.694074,0.002349,0.011126,0.015575,0.001027,0.025291
