trial,load,vec_bcast,mat_scatter,coo_spmv,res_reduce,store
1,0.709965,0.002440,0.015071,0.015681,0.001092,0.030497
2,0.717678,0.002039,0.011815,0.015574,0.001005,0.024335
3,0.683813,0.001972,0.012310,0.015537,0.001107,0.023875
4,0.690647,0.002244,0.015683,0.015692,0.001021,0.024653
5,0.715614,0.001717,0.012421,0.015785,0.000568,0.032467
6,0.744077,0.002379,0.010290,0.015665,0.001076,0.057007
7,0.690758,0.002071,0.013071,0.015617,0.000948,0.023959
8,0.692536,0.002303,0.014765,0.015632,0.001208,0.064163
9,0.688920,0.002222,0.013118,0.015588,0.000993,0.022392
10,0.688436,0.001968,0.015657,0.015576,0.000924,0.024533
11,0.724205,0.002230,0.010639,0.015610,0.001099,0.026291
12,0.709959,0.002634,0.015507,0.015635,0.000950,0.029769
13,0.696344,0.002206,0.014857,0.015671,0.001230,0.064144
14,0.709966,0.002534,0.015156,0.015621,0.001122,0.030899
15,0.706561,0.001798,0.008212,0.015633,0.000480,0.053279
